StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Last Seen Flow Element ID,Last Seen Question IDs,Consent Form,S1,S2,S3,S4,HH,HL,LH,LL,CT1,CT2,CT3,CT4,PT1,PT2,PT3,PT4,PKA1,PKA2,PKA3,PKA4,Attention Check,MC_CV1,MC_CV2,MC_ID1,MC_ID2,MC_ID3,AgeGroup,Gender,PriorPurchase,Familiarity,Condition,CV_num,ID_num,CV,ID,CT,PT,PKA,CV_check,ID_check,PKA_c
09/09/2026 03:20,09/09/2026 03:22,IP Address,100,113,TRUE,09/09/2026 03:22,R_4yrrrqVoyUYeaTQ,NA,NA,NA,NA,anonymous,EN,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,NA,NA,Please confirm you have read the post before continuing.,3,2,4,2,4,3,4,3,2,5,6,2,Strongly agree,2,1,4,2,2,25-34,Woman,Yes,7,LL,0,0,Low,Low,2.75,3.5,3.75,1.5,2.6666666666666665,-2.431910569105691
09/09/2026 03:22,09/09/2026 03:23,IP Address,100,79,TRUE,09/09/2026 03:23,R_4HPcqEiLQdCMGtP,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,Please confirm you have read the post before continuing.,NA,NA,3,2,2,3,3,2,5,4,7,7,7,7,Strongly agree,7,7,3,2,2,18-24,Woman,Yes,5,HL,1,0,High,Low,2.5,3.5,7,7,2.3333333333333335,0.8180894308943092
09/09/2026 03:23,09/09/2026 03:25,IP Address,100,87,TRUE,09/09/2026 03:25,R_4fe8Aq2FvHspK72,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,NA,Please confirm you have read the post before continuing.,NA,6,6,7,7,3,2,4,4,2,5,6,1,Strongly agree,1,1,7,7,7,25-34,Woman,Yes,5,LH,0,1,Low,High,6.5,3.25,3.5,1,7,-2.681910569105691
09/09/2026 03:25,09/09/2026 03:26,IP Address,100,69,TRUE,09/09/2026 03:26,R_4CqB0Ua9X8YTPxO,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,Please confirm you have read the post before continuing.,NA,NA,NA,6,6,7,6,6,5,5,4,7,7,7,7,Strongly agree,7,7,7,7,7,25-34,Woman,Yes,6,HH,1,1,High,High,6.25,5,7,7,7,0.8180894308943092
09/09/2026 03:27,09/09/2026 03:32,IP Address,100,314,TRUE,09/09/2026 03:32,R_70oBn4ruHvk1bcg,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,Please confirm you have read the post before continuing.,NA,NA,2,2,2,2,4,4,3,2,6,6,6,6,Strongly agree,5,5,3,4,4,25-34,Woman,No,4,HL,1,0,High,Low,2,3.25,6,5,3.6666666666666665,-0.1819105691056908
09/09/2026 03:31,09/09/2026 03:33,IP Address,100,98,TRUE,09/09/2026 03:33,R_2g8yRcylHVAiWLh,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,Please confirm you have read the post before continuing.,NA,NA,3,2,1,4,4,3,4,4,7,7,7,7,Strongly agree,7,7,3,2,1,25-34,Woman,Yes,4,HL,1,0,High,Low,2.5,3.75,7,7,2,0.8180894308943092
09/09/2026 03:31,09/09/2026 03:35,IP Address,100,234,TRUE,09/09/2026 03:35,R_43lPPrbtFoihsXO,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,NA,NA,Please confirm you have read the post before continuing.,5,2,2,2,2,2,2,2,7,7,7,7,Strongly agree,3,5,4,2,4,25-34,Man,Yes,2,LL,0,0,Low,Low,2.75,2,7,4,3.3333333333333335,0.8180894308943092
09/09/2026 03:34,09/09/2026 03:36,IP Address,100,133,TRUE,09/09/2026 03:36,R_22JAn97g1DSKa6T,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,Please confirm you have read the post before continuing.,NA,NA,NA,3,3,4,4,2,2,3,4,6,6,6,6,Strongly agree,4,5,4,3,4,18-24,Woman,Yes,5,HH,1,1,High,High,3.5,2.75,6,4.5,3.6666666666666665,-0.1819105691056908
09/09/2026 03:36,09/09/2026 03:38,IP Address,100,91,TRUE,09/09/2026 03:38,R_8V8dvppf5pig8nN,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,NA,Please confirm you have read the post before continuing.,NA,7,6,7,7,4,5,5,6,2,2,6,1,Strongly agree,2,1,7,6,7,25-34,Woman,Yes,6,LH,0,1,Low,High,6.75,5,2.75,1.5,6.666666666666667,-3.431910569105691
09/09/2026 03:37,09/09/2026 03:39,IP Address,100,122,TRUE,09/09/2026 03:39,R_3gMCvD64GrWFgV0,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Several times a week,Yes,NA,Please confirm you have read the post before continuing.,NA,NA,1,1,1,1,4,4,4,3,7,7,7,7,Strongly agree,6,5,1,1,1,25-34,Woman,No,3,HL,1,0,High,Low,1,3.75,7,5.5,1,0.8180894308943092
09/09/2026 03:35,09/09/2026 03:39,IP Address,100,235,TRUE,09/09/2026 03:39,R_2JDueCL9ZfR6GtH,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Once a week,Yes,NA,NA,NA,Please confirm you have read the post before continuing.,1,1,1,1,4,4,4,4,7,7,7,7,Strongly agree,5,7,1,1,1,25-34,Man,No,2,LL,0,0,Low,Low,1,4,7,6,1,0.8180894308943092
09/09/2026 03:38,09/09/2026 03:40,IP Address,100,133,TRUE,09/09/2026 03:40,R_9mFDK3B2MZMdN3H,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,Please confirm you have read the post before continuing.,NA,NA,NA,2,2,4,2,4,4,3,4,5,5,5,7,Strongly agree,6,6,5,6,6,18-24,Woman,Yes,NA,HH,1,1,High,High,2.5,3.75,5.5,6,5.666666666666667,-0.6819105691056908
09/09/2026 03:40,09/09/2026 03:41,IP Address,100,87,TRUE,09/09/2026 03:41,R_9nYOQ0uH9KIc5Tr,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,NA,Please confirm you have read the post before continuing.,NA,3,2,3,2,3,2,3,3,6,7,6,7,Strongly agree,2,6,2,3,2,25-34,Woman,Yes,5,LH,0,1,Low,High,2.5,2.75,6.5,4,2.3333333333333335,0.3180894308943092
09/09/2026 03:37,09/09/2026 03:41,IP Address,100,242,TRUE,09/09/2026 03:41,R_46mwSfgQ7ZntBXW,NA,NA,NA,NA,anonymous,EN,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,NA,NA,Please confirm you have read the post before continuing.,4,4,3,3,3,3,3,3,7,7,7,7,Strongly agree,5,7,3,3,3,25-34,Woman,Yes,2,LL,0,0,Low,Low,3.5,3,7,6,3,0.8180894308943092
09/09/2026 03:41,09/09/2026 03:42,IP Address,100,95,TRUE,09/09/2026 03:42,R_4mS71mwkADvSJPP,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,NA,NA,Please confirm you have read the post before continuing.,4,5,5,6,2,2,4,4,6,7,6,7,Strongly agree,6,6,5,3,5,25-34,Man,Yes,4,LL,0,0,Low,Low,5,3,6.5,6,4.333333333333333,0.3180894308943092
09/09/2026 03:41,09/09/2026 03:44,IP Address,100,158,TRUE,09/09/2026 03:44,R_7i8VtP1L0wEEROV,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,Please confirm you have read the post before continuing.,NA,NA,3,3,3,4,5,4,5,4,6,5,5,5,Strongly agree,5,5,3,3,3,25-34,Woman,Yes,4,HL,1,0,High,Low,3.25,4.5,5.25,5,3,-0.9319105691056908
09/09/2026 03:55,09/09/2026 03:58,IP Address,100,185,TRUE,09/09/2026 03:58,R_5vdMXCg5sim5lIJ,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,Please confirm you have read the post before continuing.,NA,NA,NA,6,7,7,7,5,4,6,5,5,7,6,6,Strongly agree,5,5,6,6,6,25-34,Woman,Yes,6,HH,1,1,High,High,6.75,5,6,5,6,-0.1819105691056908
09/09/2026 03:57,09/09/2026 03:59,IP Address,100,118,TRUE,09/09/2026 03:59,R_1CjlRT1vRtwcUi6,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,NA,NA,Please confirm you have read the post before continuing.,3,3,3,2,2,2,2,2,6,6,6,6,Strongly agree,5,6,3,4,4,25-34,Man,Yes,2,LL,0,0,Low,Low,2.75,2,6,5.5,3.6666666666666665,-0.1819105691056908
09/09/2026 03:47,09/09/2026 04:03,IP Address,100,959,TRUE,09/09/2026 04:03,R_3fRWuoq486femHv,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,NA,Please confirm you have read the post before continuing.,NA,7,7,7,7,7,7,7,7,7,7,7,7,Strongly agree,7,7,7,7,7,45 or above,Man,Yes,5,LH,0,1,Low,High,7,7,7,7,7,0.8180894308943092
09/09/2026 04:02,09/09/2026 04:05,IP Address,100,141,TRUE,09/09/2026 04:05,R_2qBA36YWZigBOZX,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,Please confirm you have read the post before continuing.,NA,NA,2,2,3,4,1,1,2,2,7,7,6,7,Strongly agree,5,7,1,1,2,18-24,Woman,No,3,HL,1,0,High,Low,2.75,1.5,6.75,6,1.3333333333333333,0.5680894308943092
09/09/2026 04:05,09/09/2026 04:10,IP Address,100,292,TRUE,09/09/2026 04:10,R_1QWSAZLby7PhplH,NA,NA,NA,NA,anonymous,ZH-S,FL_EOS_ID,NA,I agree,Yes,Yes,Daily,Yes,NA,NA,NA,Please confirm you have read the post before continuing.,6,6,6,7,7,6,6,7,7,6,6,6,Strongly agree,7,7,7,7,7,45 or above,Woman,Yes,5,LL,0,0,Low,Low,6.25,6.5,6.25,7,7,0.06808943089430919
